time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/loss,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/std,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
2669,10113,27000832,103,-0.12321633845567703,0.00020409242188179633,0.00778336,0.08111286163330078,793,0.0017813999629652244,0.0003,-12.470498822629452,0.2,1.5779261589050293,0.47410881519317627,161.98,1.5626591400057077
2696,10109,27262976,104,-0.12670563161373138,-1.823781531129498e-05,0.00676716,0.09373855590820312,801,0.002329197389371984,0.0003,-12.504000633955002,0.2,1.5887830257415771,0.43992531299591064,175.45,1.6279656766355037
2722,10109,27525120,105,-0.12499381601810455,-0.00028872172833871446,0.0066027725,0.07751226425170898,809,0.0016137295988301048,0.0003,-12.522656992077827,0.2,1.5924084186553955,0.49318403005599976,152.99,1.3020324643701315
2749,10106,27787264,106,-0.12677259743213654,0.00014604584157495992,0.0068738367,0.07504510879516602,817,0.0017560889727974427,0.0003,-12.542564027011395,0.2,1.6015568971633911,0.47324520349502563,165.55,1.5499254149198531
2775,10104,28049408,107,-0.1280297338962555,5.090192735224264e-05,0.007311523,0.09148120880126953,825,0.0026959232454828452,0.0003,-12.573935903608799,0.2,1.6110159158706665,0.3943518400192261,159.17,1.3808298775553702
2804,10096,28311552,108,-0.12952576577663422,-0.0002465315378685773,0.0057934946,0.07855749130249023,833,0.002099683213600656,0.0003,-12.5946996062994,0.2,1.6178349256515503,0.4422515034675598,152.18,1.3301726467907429
2833,10083,28573696,109,-0.12724792957305908,7.208242277556565e-05,0.005537308,0.07440471649169922,841,0.001661965745370253,0.0003,-12.60214115679264,0.2,1.6188080310821533,0.5164032876491547,144.39,1.2500676874816419
2862,10074,28835840,110,-0.1288241446018219,-0.00022053137217881158,0.008345909,0.08406925201416016,849,0.0020560196362566785,0.0003,-12.61155055463314,0.2,1.6245033740997314,0.40690845251083374,146.19,1.2775420805811881
2889,10069,29097984,111,-0.12779371440410614,-8.342234968949924e-05,0.0062125428,0.07656335830688477,857,0.0018655790827324381,0.0003,-12.626689776778221,0.2,1.6315354108810425,0.4776419401168823,163.02,1.4539072132110595
2916,10067,29360128,112,-0.1267695277929306,3.294861789981951e-05,0.0060242303,0.08391523361206055,865,0.002230658927146578,0.0003,-12.637639954686165,0.2,1.6374201774597168,0.45780664682388306,159.36,1.405092535018921
