time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/approx_kl,train/loss,rollout/ep_rew_mean,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/std
4210,181,11268,47448064,-12.383583575487137,89.79,0.2,0.12200355529785156,0.012270475,-0.14109529554843903,-3.15201401129365,1428,0.016481833343277685,-0.014319719924969831,0.6840313971042633,0.0003,1.4378788471221924
4239,182,11254,47710208,-12.162176512181759,110.31,0.2,0.11211538314819336,0.011102617,-0.13772207498550415,-3.372860226035118,1436,0.017797230422729626,-0.011303543310077657,0.6718094646930695,0.0003,1.392767310142517
4268,183,11239,47972352,-11.946437507867813,116.21,0.2,0.11034584045410156,0.010750265,-0.13415978848934174,-3.5382830756902695,1444,0.016453646792797372,-0.010925769228379067,0.6810275614261627,0.0003,1.3502552509307861
4296,184,11225,48234496,-11.723261088132858,123.12,0.2,0.12030172348022461,0.011927061,-0.1348034292459488,-3.3490722757577895,1452,0.012514559311966877,-0.01264380402972165,0.6802849173545837,0.0003,1.306566596031189
4326,185,11208,48496640,-11.51418873667717,106.76,0.2,0.11423397064208984,0.012335037,-0.12213166803121567,-2.656417527794838,1460,0.013815678423270583,-0.00948385595347645,0.6189390122890472,0.0003,1.268540620803833
4355,186,11195,48758784,-11.299466572701931,119.96,0.2,0.11965656280517578,0.012105364,-0.1281215250492096,-2.786426291465759,1468,0.010179487173445523,-0.010938381286450749,0.6852116882801056,0.0003,1.2282886505126953
4384,187,11180,49020928,-11.090015172958374,83.92,0.2,0.11519956588745117,0.010638645,-0.1215965747833252,-1.6119647008180618,1476,0.010148374389245873,-0.008007115929103747,0.6240361928939819,0.0003,1.1930460929870605
4413,188,11166,49283072,-10.88952063024044,97.91,0.2,0.114471435546875,0.01117858,-0.12168098986148834,-1.9368974697589874,1484,0.009861527858447516,-0.009126719397499983,0.6469184756278992,0.0003,1.1582211256027222
4443,189,11149,49545216,-10.697017796337605,115.97,0.2,0.10407352447509766,0.01064128,-0.11665487289428711,-1.9549147760868073,1492,0.012098280691134278,-0.007204923217614123,0.6835705935955048,0.0003,1.126927137374878
4472,190,11136,49807360,-10.51832415908575,117.14,0.2,0.12161445617675781,0.010628266,-0.11211632937192917,-1.9010030436515808,1500,0.011275747696345206,-0.005935127486281999,0.6537130177021027,0.0003,1.098448634147644
