time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates,train/clip_fraction,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
25427968,10024,97,2536,0.0003034583028238558,-0.12253538519144058,0.2,0.0060498016,1.4710032939910889,768,0.08328056335449219,0.0003,0.4912406802177429,0.0018671351790544577,-12.150808691978455,139.09,1.2305903159826994
25690112,10022,98,2563,-5.559490000450751e-05,-0.12228957563638687,0.2,0.006494596,1.4716726541519165,776,0.08040761947631836,0.0003,0.44212794303894043,0.0022422302663471783,-12.147715583443642,138.72,1.1300718601047992
25952256,10018,99,2590,-9.982315668821684e-05,-0.12063543498516083,0.2,0.0065960963,1.4767355918884277,784,0.08230924606323242,0.0003,0.44120723009109497,0.002469735341037449,-12.155366256833076,133.14,1.196418543830514
26214400,10019,100,2616,0.10704527979639049,0.5183349251747131,0.2,0.009512048,1.4769459962844849,785,0.050547281901041664,0.0003,0.1300361156463623,0.0030742931412532926,-12.159879366556803,142.75,1.2318813616782427
26476544,10017,101,2642,0.00027953601829722174,-0.12071827799081802,0.2,0.006704574,1.482420563697815,793,0.08732128143310547,0.0003,0.37039709091186523,0.0029247697402752237,-12.176505215466022,151.41,1.3355968575179578
26738688,10014,102,2670,-8.471543969790218e-05,-0.12198049575090408,0.2,0.007613963,1.4870085716247559,801,0.0855402946472168,0.0003,0.42973095178604126,0.0024447761779811117,-12.187553331255913,159.15,1.4243392698466777
27000832,10011,103,2696,-0.00011796781109296717,-0.12341323494911194,0.2,0.0067641456,1.4901690483093262,809,0.08256959915161133,0.0003,0.5105512738227844,0.0018523636981626623,-12.190548539161682,149.91,1.3609912130609154
27262976,10007,104,2724,-0.0004444335859261628,-0.12327615171670914,0.2,0.0065406,1.4952579736709595,817,0.07173013687133789,0.0003,0.4852137565612793,0.0020850153941864846,-12.202995844185352,162.83,1.4323516377061605
27525120,10005,105,2750,-4.47303273176658e-05,-0.12362422794103622,0.2,0.0061111385,1.4985687732696533,825,0.07398223876953125,0.0003,0.4557494521141052,0.002276364024510258,-12.211829662322998,152.49,1.3863704226911069
27787264,10001,106,2778,8.001979040273e-06,-0.12249954789876938,0.2,0.006774191,1.5023754835128784,833,0.07941484451293945,0.0003,0.5165292024612427,0.0018273189289175207,-12.213164307177067,139.15,1.1958919332176448
28049408,9998,107,2805,0.00013036741484029335,-0.12207099050283432,0.2,0.007419807,1.5067572593688965,841,0.08368587493896484,0.0003,0.4759984612464905,0.0023845858604545356,-12.223557189106941,158.85,1.4301847219467163
28311552,9993,108,2832,0.0005337963802958257,-0.12377526611089706,0.2,0.007235745,1.5088870525360107,849,0.08703088760375977,0.0003,0.5808095335960388,0.0016346672246072558,-12.222938254475594,143.84,1.2885472850501538
28573696,9990,109,2860,-0.00030403158598346636,-0.1254674196243286,0.2,0.0053250566,1.5098798274993896,857,0.08014869689941406,0.0003,0.4946179986000061,0.002231652464615763,-12.223170578479767,156.67,1.4641024867445231
28835840,9985,110,2887,0.00020562782901833998,-0.121344655752182,0.2,0.0070177736,1.5136438608169556,865,0.08396482467651367,0.0003,0.5593401491641998,0.0017913876199600054,-12.229001693427563,157.61,1.441884072087705
29097984,9983,111,2914,1.828904169087764e-05,-0.12160437554121017,0.2,0.007243465,1.5152370929718018,873,0.08321142196655273,0.0003,0.5129221379756927,0.002086044752104499,-12.229339264333248,149.23,1.3799939576536417
29360128,9980,112,2941,-0.0006912139479027246,-0.1230594590306282,0.2,0.0072325687,1.5211721658706665,881,0.07973766326904297,0.0003,0.42921584844589233,0.002934597956482321,-12.243164449930191,135.02,1.2032522246986628
